"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",91.602959,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",1.9994243,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.6657953,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",1.1490299,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",2.5993125,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",11.318923,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",17.624971,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",5.9524503,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F021","Arts","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F021","Arts","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F021","Arts","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F021","Arts","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F021","Arts","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F021","Arts","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F021","Arts","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
